               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_65    0.541406  0.244876  0.074793  0.137876  0.023210 -0.014700  0.191789  0.033788
Sample_66    0.434571  0.304687  0.281299  0.011378  0.032096 -0.084923  0.093999  0.023507
Sample_67    0.795752  0.052361  0.777137 -0.078253 -0.003796 -0.019992  0.166707  0.084847
Sample_68    0.637447  0.173477  0.517082  0.144414  0.083273 -0.020732  0.055390  0.030042
Sample_69    0.356526  0.491912  0.220271  0.442824 -0.028044 -0.027287  0.217784  0.015377
Sample_70    0.595412  0.158796  0.616241  0.088668 -0.030359 -0.017298  0.068119  0.123788
Sample_71    0.836941 -0.029159  0.369331  0.299735  0.023077 -0.059982  0.069184  0.177082
Sample_72    0.948252 -0.191751  0.698414 -0.278393  0.020503 -0.011074  0.001936  0.039815
Sample_73    0.664080  0.084643  0.061881  0.441448 -0.000275  0.013156  0.025859  0.107520
Sample_74    0.516581  0.337574  0.156605  0.197145 -0.027844 -0.024342  0.067863  0.073011
Sample_75    0.576637  0.180183  0.233759  0.188178 -0.037666 -0.009654  0.089578  0.054040
Sample_76    0.587820  0.038851  0.164259  0.290661 -0.000572  0.025889 -0.033407  0.085808
Sample_77    0.565713  0.197490  0.333354  0.136731 -0.020890 -0.004461  0.104470  0.069144
Sample_78    0.501339  0.226255  0.278604  0.388886  0.010769 -0.029998  0.057252  0.022165
Sample_79    0.873333 -0.054723  0.524139  0.029593  0.020236 -0.011302  0.043809  0.013596
Sample_80    0.592347  0.129198  0.547366 -0.134397  0.000811  0.017201  0.117226  0.127605
Sample_81    0.654405  0.220276  0.373496  0.082531 -0.056243  0.000518  0.040794  0.079745
Sample_82    0.683455  0.046716  0.282843  0.227984 -0.011915 -0.017274  0.017112  0.190273
Sample_83    0.631905  0.191393  0.540122  0.103934 -0.041724 -0.005688  0.177512  0.060302
Sample_84    0.570029  0.215435  0.125675  0.426599 -0.012899 -0.054442  0.039196  0.255140
Sample_85    0.763942  0.069263  0.259691  0.108955  0.015764 -0.036546  0.076549  0.081725
Sample_86    0.669323  0.126513  0.330926  0.075839  0.000714  0.004081  0.169952 -0.027747
Sample_87    0.773515  0.104602  0.457843 -0.025193 -0.022799 -0.037205  0.073073  0.145971
Sample_88    0.448825  0.193695  0.271034  0.248099 -0.005869  0.017836  0.191543 -0.035087
Sample_89    0.632499  0.064180  0.489957 -0.048144 -0.062519 -0.013454  0.201644  0.136083
Sample_90    0.602663  0.155078  0.402293  0.098666 -0.006348 -0.059075  0.144582  0.085576
Sample_91    0.873075 -0.225303  0.533379 -0.191906 -0.030600 -0.000648  0.065335  0.201508
Sample_92    1.033745 -0.159900  0.299931  0.314113 -0.035143 -0.008409  0.052594 -0.016297
Sample_93    0.472121  0.347115  0.352027  0.380025 -0.008907  0.000218 -0.017104  0.027673
Sample_94    0.656953  0.102210  0.595311 -0.055523 -0.122176 -0.018527  0.256496 -0.112818
Sample_95    0.657656  0.181538  0.083220  0.341853 -0.017634  0.015315  0.043997  0.009129
Sample_96    0.913740  0.033644  0.027658  0.540762 -0.126418 -0.050156  0.150965  0.007476
Sample_97    0.486531  0.413391  0.220030  0.439800 -0.012516 -0.026638 -0.001965  0.021010
Sample_98    0.635623  0.306738 -0.257723  0.009792 -0.006901  0.014182 -0.004526  0.082957
Sample_99    0.734746  0.216529  0.024457  0.226353 -0.061454 -0.030520  0.179774  0.025749
Sample_100   0.731599  0.187666  0.044231 -0.012667 -0.004971 -0.018092  0.073162  0.054887
Sample_101   0.523763  0.418388  0.377790  0.074065 -0.011299 -0.006352  0.010566  0.066252
Sample_102   0.655191  0.082725  0.347957  0.200634 -0.007601 -0.112791  0.039722  0.251139
Sample_103   0.635300  0.115999  0.279600  0.080497 -0.147444 -0.060637  0.203876 -0.013237
Sample_104   0.758697  0.086698  0.537491  0.062271 -0.032335 -0.026131 -0.011800  0.022287
Sample_105   0.484265  0.169168  0.024504  0.321690 -0.069243 -0.051990  0.064554  0.168826
Sample_106   0.630748  0.206342  0.330294  0.300610 -0.037941 -0.028009  0.061063  0.125885
Sample_107   0.835592  0.103719  0.764760 -0.236238 -0.014643 -0.030327 -0.022157 -0.018526
Sample_108   0.586729  0.232788  0.424711  0.168507  0.005116  0.002462  0.044366  0.030560
Sample_109   0.510450  0.183988  0.273599  0.185740  0.001306 -0.124708 -0.025916  0.204866
Sample_110   0.889609 -0.002060  0.163130  0.088476  0.012955 -0.054611  0.061132  0.140022
Sample_111   0.656880  0.159809  0.131207  0.104045 -0.012167  0.012472 -0.021691 -0.042905
Sample_112   0.849548 -0.018234  0.207867  0.403675 -0.033841 -0.026636  0.064613  0.036416
Sample_113   0.450335  0.273870  0.644061 -0.063977 -0.118656  0.004692  0.122522  0.022770
Sample_114   0.675228  0.008842  0.374347  0.033220 -0.004437 -0.022879  0.060637  0.018450
Sample_115   0.931245 -0.016588  0.580580 -0.019747 -0.077034 -0.015892  0.082449 -0.000419
Sample_116   0.697980  0.099532  0.126749 -0.026614 -0.052673 -0.010717  0.074496  0.000853
Sample_117   0.758899  0.135783  0.108124  0.304730 -0.068513 -0.011506  0.079657  0.055889
Sample_118   0.923829  0.024516  0.592790 -0.057538 -0.015122 -0.015558  0.065989  0.017573
Sample_119   0.758465  0.137714  0.235422  0.098940 -0.016278 -0.012578  0.035115  0.024487
Sample_120   0.619684  0.067677 -0.025381  0.070911 -0.008533 -0.010079  0.016856 -0.021578
Sample_121   0.593090  0.271423  0.038491 -0.009981 -0.072210 -0.031063  0.095020  0.022822
Sample_122   0.718830  0.156825  0.040013  0.039835 -0.024539 -0.017587  0.013985  0.060619
Sample_123   0.400187  0.557774  0.399499  0.071206  0.016061  0.002683  0.079767  0.075682
Sample_124   0.520629  0.185797  0.601376 -0.104671 -0.058002 -0.024454  0.047346  0.031684
Sample_125   0.614668  0.108455  0.316897  0.223378 -0.020151 -0.010511  0.053544 -0.029907
Sample_126   0.730187  0.044316  0.055083  0.120884 -0.000619 -0.025476  0.061281  0.015053
Sample_127   0.622492  0.150612  0.001498  0.524660 -0.034548 -0.029296  0.026239 -0.147916
Sample_128   0.820503  0.002779  0.205562  0.140886 -0.038068 -0.011961  0.052042  0.012916
Sample_129   0.690755  0.207614  0.113662  0.449418 -0.059029 -0.011485  0.038027  0.044598
Sample_130   0.701859  0.191773  0.560103 -0.007748 -0.047235 -0.025813  0.030150  0.009994
Sample_131   0.444246  0.429321  0.240700  0.260043 -0.030448 -0.004452  0.026649 -0.008977
Sample_132   0.924247 -0.018383  0.696438 -0.225552 -0.021690 -0.039012 -0.168318 -0.010065
Sample_133   0.646489  0.170221 -0.607251 -0.250671  0.022090 -0.044401  0.014717  0.016409
Sample_134   0.708581  0.156360  0.701006 -0.023407 -0.020362 -0.031821  0.049233  0.061821
Sample_135   0.742223 -0.034746  0.557850  0.098070 -0.028616 -0.008950  0.043721  0.021522
Sample_136   0.764393  0.017078  0.168289  0.215134 -0.030040 -0.008521  0.057932 -0.008053
Sample_137   0.609399  0.229686  0.810521 -0.273846 -0.039986 -0.015650  0.025588 -0.013390
Sample_138   0.774172 -0.037512  0.695582  0.016626 -0.027485 -0.026904  0.018944 -0.002494
Sample_139   0.682946  0.120647  0.570864  0.015786 -0.013223 -0.019340 -0.012973  0.001326
Sample_140   0.885357 -0.105746  0.793543 -0.134158  0.002980 -0.024961  0.014678 -0.011010
Sample_141   0.792006  0.004526  0.325920  0.317355  0.012773 -0.005935  0.145034 -0.001656
Sample_142   0.890796 -0.141195  0.406828  0.107023 -0.006951 -0.030954  0.004302 -0.014763
Sample_143   0.728373  0.088371  0.484216  0.204268  0.002569  0.011538  0.037398  0.016079
Sample_144   1.023151 -0.155031  0.456247  0.185206 -0.063083 -0.022080  0.135881 -0.039171
Sample_145   0.711738  0.103926  0.403251 -0.057882  0.007680 -0.012871  0.017610 -0.004547
Sample_146   0.346524  0.446452  0.519159 -0.026222 -0.030457 -0.012633 -0.005995 -0.016055
Sample_147   0.463795  0.323282  0.269794  0.088551  0.083053 -0.050044 -0.059785  0.270614
Sample_148   0.625327  0.138926  0.646891 -0.043851 -0.008084 -0.033061 -0.008176 -0.018116
Sample_149   0.699132  0.152629  0.424603  0.016649 -0.018800 -0.013256  0.015241 -0.014143
