               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_282   0.581712  0.239655  0.283960  0.188284 -0.077907  0.065589  0.074499  0.019638
Sample_283   0.781700  0.124099  0.225161  0.267153 -0.070321 -0.052275  0.348979 -0.023486
Sample_284   0.486040  0.296963  0.082919  0.223303 -0.041085 -0.075195  0.071053  0.188133
Sample_285   0.519680  0.142291  0.306678 -0.047274 -0.030368  0.000004  0.091753  0.022929
Sample_286   0.725682  0.113702  0.212575  0.309232 -0.026822 -0.042511  0.191773  0.044398
Sample_287   0.498318  0.138636 -0.000542  0.297837  0.006802 -0.011785  0.177702  0.070885
Sample_288   0.869754 -0.021009  0.406475  0.268858 -0.027848 -0.086424  0.114583  0.251806
Sample_289   0.607717  0.231723  0.160137  0.280904 -0.028100 -0.020742  0.112513  0.098327
Sample_290   0.260723  0.447578  0.061870  0.201497 -0.002935  0.021558  0.016596  0.080269
Sample_291   0.812483  0.124895  0.258696  0.104436 -0.049885  0.021606  0.076563  0.127897
Sample_292   0.977424 -0.020955  0.490634  0.150815 -0.035204 -0.026008  0.091098  0.084132
Sample_293   0.876926 -0.112392  0.049753  0.568977  0.011555 -0.032659  0.069278  0.031899
Sample_294   0.988587 -0.205441  0.559284 -0.116228 -0.076466 -0.009050  0.181130  0.006237
Sample_295   0.509821  0.271537  0.338158  0.163636 -0.020020 -0.020726  0.080151  0.022607
Sample_296   1.002851 -0.168271  0.424568  0.285933  0.002526 -0.037023  0.058389  0.028165
Sample_297   1.270095 -0.374419  0.410891  0.233512 -0.051080 -0.003547  0.137420  0.040589
Sample_298   0.747596  0.189293  0.101456  0.197233  0.014759 -0.012354  0.069348  0.039186
Sample_299   0.883673 -0.107997  0.302213  0.112369 -0.005727 -0.045420  0.115674  0.034483
Sample_300   1.055588 -0.190394  0.354001  0.254539 -0.048327 -0.054878  0.096373  0.036228
Sample_301   0.977924 -0.081245  0.739731 -0.273980  0.000365 -0.036317  0.077863  0.089173
Sample_302   1.172996 -0.235746  0.320146  0.169226 -0.049733 -0.025692  0.118087  0.057825
Sample_303   0.928625  0.020074  0.343360  0.043286 -0.001151 -0.016199  0.132835  0.014073
Sample_304   0.930740 -0.064154  0.272282  0.364423  0.004169 -0.074822  0.085096  0.066817
Sample_305   0.522871  0.222892  0.573649 -0.024543 -0.043273 -0.015355  0.091048 -0.009074
Sample_306   0.896406  0.022453  0.411725  0.121447 -0.034654 -0.032739  0.176043  0.048799
Sample_307   0.454172  0.430357  0.241722  0.337963 -0.037046 -0.047349  0.071882  0.097667
Sample_308   0.803011 -0.041781  0.136316  0.110925 -0.040536 -0.033084  0.036242 -0.003571
Sample_309   1.060764 -0.207451  0.004993  0.052772 -0.021563 -0.054253 -0.036529  0.033311
Sample_310   1.017146 -0.175922  0.439978  0.172976 -0.034020 -0.039661  0.128520  0.033590
Sample_311   0.752408  0.106056  0.400536 -0.013552 -0.008852  0.003950  0.045650  0.051154
Sample_312   0.807476 -0.006343  0.429647  0.040530  0.036547 -0.023919  0.175990  0.015351
Sample_313   0.467873  0.318578  0.569073  0.105679 -0.001437 -0.025280  0.037131  0.034977
Sample_314   0.539519  0.271886  0.396860  0.076614  0.003742 -0.015668  0.061445  0.019255
Sample_315   0.555513  0.284912  0.405829  0.118558 -0.004895 -0.014438  0.066114 -0.008824
Sample_316   0.695556  0.086304  0.415915  0.230754 -0.029941 -0.015260  0.070455  0.036634
Sample_317   0.662145  0.055304  0.440513 -0.032504 -0.045953 -0.026261  0.083794 -0.003967
Sample_318   0.678025  0.184744  0.199454  0.382868 -0.007453 -0.016236  0.072970  0.013870
Sample_319   0.595048  0.293951  0.270729  0.271756 -0.030775 -0.018516  0.033458  0.055354
Sample_320   0.667495  0.080903  0.387920  0.211678 -0.016604 -0.021187  0.066294  0.071139
Sample_321   0.765185  0.068213  0.542844 -0.041468 -0.007223 -0.022861  0.073791  0.022231
Sample_322   0.542019  0.049129  0.339628  0.043511  0.005385 -0.044661  0.059274 -0.001746
Sample_323   0.571236  0.235798  0.079672  0.313405 -0.022690 -0.035213  0.047772  0.078336
Sample_324   0.476657  0.185504  0.106162  0.338734 -0.059831 -0.003447 -0.015618  0.015394
Sample_325   0.564149  0.154124  0.120643 -0.171931  0.022548 -0.049944  0.104386 -0.023314
Sample_326   0.636244  0.189005  0.317271  0.029138 -0.010707 -0.064408  0.082429  0.074265
Sample_327   0.745766  0.109206  0.469779  0.161918 -0.002126 -0.001500  0.075137  0.021758
Sample_328   0.420670  0.337873  0.147221  0.525316 -0.012221 -0.025391 -0.009985  0.027841
Sample_329   0.632152  0.199518  0.453617  0.002328 -0.051586 -0.014269  0.074053  0.022457
Sample_330   0.705806  0.117363  0.505131  0.039044 -0.011138 -0.013553  0.055071 -0.002219
Sample_331   0.666946  0.120466  0.289421  0.363389  0.013475 -0.021503  0.083952 -0.006010
Sample_332   0.712109  0.073958  0.215338  0.405369 -0.012470 -0.026594  0.015579  0.047764
Sample_333   0.703285  0.100938  0.591136  0.061052 -0.022637 -0.008335  0.042733  0.040707
Sample_334   0.654910  0.198273  0.492324 -0.015655 -0.012519 -0.003138  0.001867  0.054251
Sample_335   0.761514  0.076375  0.458817  0.120025 -0.083371 -0.010510  0.090960  0.119348
Sample_336   0.615585  0.209491  0.364124  0.156785  0.008742 -0.009314  0.073007 -0.012298
Sample_337   0.617494  0.237505  0.073911  0.136424 -0.037436 -0.006288  0.104576  0.065717
Sample_338   0.720860  0.092556  0.197220  0.326359  0.057172 -0.004031  0.105760  0.057619
Sample_339   0.677521  0.077755 -0.339935 -0.006168  0.026564 -0.012086  0.116514  0.047505
Sample_340   0.721788  0.122412  0.343180  0.063393 -0.038650  0.092444  0.146345 -0.007364
Sample_341   0.849395 -0.034461  0.302468  0.356642 -0.041383 -0.019388  0.076789  0.010212
Sample_342   0.666736  0.245927  0.452704  0.103489 -0.013078 -0.087440  0.099997  0.096729
Sample_343   0.810300  0.027535  0.123862 -0.030232 -0.015345 -0.086160  0.082895  0.134867
Sample_344   0.936254 -0.032296  0.198836  0.106776  0.105382 -0.025774  0.082538  0.054469
Sample_345   0.407949  0.396088  0.098400  0.300586 -0.063580  0.014433  0.025079  0.144201
Sample_346   0.518220  0.250012  0.462167  0.107774 -0.085806 -0.079110  0.092189  0.076435
Sample_347   0.777251  0.015611  0.168094  0.346066 -0.061642 -0.003400  0.081958  0.049975
Sample_348   0.864388 -0.062778  0.028778  0.140306  0.016472 -0.015537  0.085501  0.069086
Sample_349   0.543084  0.309989  0.733489 -0.122566  0.005045 -0.029505  0.080805  0.032067
Sample_350   0.638921  0.198447  0.484090  0.199084 -0.019024 -0.019268  0.067147  0.007407
Sample_351   0.504624  0.341121 -0.063701  0.109444  0.059880 -0.002427  0.101479  0.180345
Sample_352   0.724156  0.074150  0.263577  0.361747  0.001226 -0.010348  0.037305 -0.001926
Sample_353   0.955695 -0.078811  0.638299  0.017649 -0.040453  0.002325  0.262556 -0.024232
Sample_354   0.466017  0.331098  0.505628  0.124817 -0.013022  0.003804  0.098131  0.017633
Sample_355   0.828383  0.133730  0.589834  0.041905  0.014686 -0.037701  0.041706  0.177085
Sample_356   0.619668  0.200490  0.192664  0.270728 -0.041456 -0.071117  0.123941  0.103669
Sample_357   0.742155  0.155544  0.311038  0.247158  0.014610  0.040713 -0.135690 -0.056847
Sample_358   0.628135  0.327409  0.372655  0.000679 -0.103921 -0.038509  0.291348 -0.008667
Sample_359   0.774696  0.179926  0.172824  0.114852 -0.005250  0.003203  0.064403  0.072862
Sample_360   0.303170  0.496889 -0.000359  0.547392 -0.009906 -0.067390  0.022170  0.272909
Sample_361   0.808782 -0.008233  0.294726  0.073661 -0.060905  0.016821  0.047133  0.005079
Sample_362   0.471466  0.287034  0.289756  0.109646  0.006799 -0.016309  0.038923 -0.025779
Sample_363   0.742209  0.088439 -0.433336 -0.204786 -0.009406 -0.012430  0.012901  0.010592
Sample_364   0.822564  0.086102  0.649622  0.107471 -0.014718 -0.072420  0.040739  0.224895
Sample_365   0.430509  0.488164  0.294280  0.137490  0.013571 -0.006061  0.062851  0.016429
Sample_366   0.453907  0.432352  0.662351 -0.081652 -0.113859 -0.044690  0.204802 -0.003076
Sample_367   0.584326  0.296954  0.078843  0.397213 -0.028008 -0.033087  0.104095  0.157993
Sample_368   0.768091  0.098157  0.138605  0.188751  0.053992 -0.018808  0.082702  0.020797
Sample_369   0.641082  0.213171  0.203597 -0.029510  0.054952 -0.075376  0.067378  0.077205
Sample_370   0.573061  0.013364  0.398422  0.068378 -0.026694 -0.039775 -0.041757 -0.080229
Sample_371   0.581856  0.309295  0.232245  0.113717 -0.051933 -0.031758  0.064826 -0.015936
Sample_372   0.815581  0.026904  0.353814  0.295322  0.041377  0.052053  0.064643 -0.004604
Sample_373   0.742620  0.019426  0.107576  0.222099 -0.010843 -0.010466  0.017162  0.025709
Sample_374   0.777907  0.116480 -0.359848  0.010218  0.078529  0.000928  0.032917  0.055663
Sample_375   1.212191 -0.261048  0.242206  0.190819 -0.010809 -0.015012  0.042639  0.025620
Sample_376   0.700432  0.232756  0.404305  0.323522 -0.173097 -0.050784  0.316922 -0.100321
Sample_377   1.103989 -0.195217  0.956029 -0.159939 -0.027376 -0.040134  0.065673 -0.012952
Sample_378   0.977565 -0.184225  0.253186  0.225304 -0.006919 -0.034540  0.092913  0.132734
Sample_379   0.619721  0.136926  0.303757  0.252267 -0.009585 -0.028265  0.066415  0.033283
Sample_380   0.825336 -0.004747  0.325674  0.220605 -0.070979 -0.053106  0.075880  0.063906
Sample_381   0.822899 -0.037221  0.546289  0.133008 -0.038388 -0.052706  0.103418  0.112696
Sample_382   0.551778  0.069948 -0.098399  0.028221  0.010372 -0.019105  0.036500  0.045319
Sample_383   0.552220  0.276359  0.267017  0.264343 -0.035532 -0.009285  0.086079 -0.008727
Sample_384   0.580345  0.204607  0.325870  0.122728 -0.046397 -0.067849  0.060997  0.100351
Sample_385   0.605276  0.333828  0.838649 -0.160665  0.010512 -0.018984  0.104272  0.028197
Sample_386   0.731140  0.137072  0.497889  0.089102 -0.025974 -0.061286  0.084885  0.049507
Sample_387   0.474546  0.328765  0.343968  0.100245  0.007266 -0.042753  0.105710  0.056343
Sample_388   0.562614  0.263756  0.305568  0.282455 -0.021881 -0.013463  0.060800  0.042326
Sample_389   0.439408  0.369670  0.508575  0.023657 -0.015669 -0.009253  0.003202  0.014906
Sample_390   0.362997  0.516366  0.458220 -0.012817 -0.039057 -0.024865  0.034625  0.128807
Sample_391   0.479221  0.244639  0.217659  0.554668  0.003853 -0.031620  0.014607  0.058217
Sample_392   0.501130  0.230449  0.274535  0.122176 -0.019447 -0.043732  0.014388  0.040270
Sample_393   0.728826  0.040554  0.385889  0.296850 -0.011518 -0.033867  0.029093  0.056342
Sample_394   0.563019  0.123171  0.423265  0.301563 -0.028931 -0.037396  0.029421  0.020111
Sample_395   0.623690  0.206212  0.382100  0.187768 -0.017920 -0.029229  0.037175  0.103169
Sample_396   0.587592  0.069038  0.527461  0.069982  0.032400 -0.010104  0.005858 -0.019581
Sample_397   0.849643 -0.019989  0.299687  0.300835 -0.046978 -0.084673  0.011210  0.144749
Sample_398   0.467292  0.195044  0.264413  0.293749 -0.017377 -0.015851  0.055473  0.006982
Sample_399   0.719316 -0.003703  0.583978  0.091815 -0.038791 -0.054430  0.018772  0.080619
Sample_400   0.528194  0.181003  0.108138  0.200259 -0.023886 -0.080983  0.025628  0.057758
Sample_401   0.728064  0.181181  0.779913 -0.113494 -0.029192 -0.020603  0.185866  0.042326
Sample_402   0.614995  0.190398  0.476293  0.093129 -0.006130 -0.016081  0.153291  0.065331
Sample_403   0.615053  0.175665  0.457168  0.089270 -0.033958 -0.059086  0.089626  0.079099
Sample_404   0.581681  0.281233  0.612952 -0.007772 -0.092830 -0.023825  0.235274 -0.037814
Sample_405   0.752348  0.136703  0.511708 -0.104174 -0.023806 -0.008664  0.124272  0.001673
Sample_406   0.731654  0.134960  0.269157  0.238759 -0.021243 -0.051773  0.085492  0.095658
Sample_407   0.651669  0.230991  0.428694  0.226774 -0.036494 -0.041042  0.060138  0.042225
Sample_408   0.466607  0.288980  0.259345  0.341231 -0.069266 -0.029762  0.043631  0.056657
Sample_409   0.591286  0.368583  0.241938  0.298891 -0.034992 -0.032889  0.116456  0.037512
Sample_410   1.013306 -0.104778  0.370629  0.249142 -0.037173 -0.014332  0.178886  0.029073
Sample_411   0.850045  0.018568  0.554905  0.090820 -0.001531 -0.003949  0.161352  0.054031
Sample_412   0.928327 -0.039488  0.347436  0.311480 -0.025728 -0.031311  0.160095  0.012599
Sample_413   0.536718  0.346402  0.403329 -0.045480 -0.027328 -0.030488  0.085767  0.056021
Sample_414   0.693354  0.181591  0.590859 -0.044714  0.008505 -0.021522  0.065559  0.036240
Sample_415   0.888313 -0.037354  0.437188  0.091792 -0.000702 -0.037195  0.100390  0.131043
Sample_416   0.476631  0.450090  0.484231 -0.005884 -0.044099 -0.011547  0.009010  0.030886
Sample_417   0.557199  0.299441  0.454042  0.149836 -0.041989 -0.023644  0.111456  0.049086
Sample_418   0.380603  0.453990  0.276600  0.005642 -0.030638 -0.028220 -0.010983  0.108657
Sample_419   0.668798  0.228439  0.208040  0.240998 -0.009547 -0.045082  0.120303  0.015445
Sample_420   0.545454  0.350631  0.376118 -0.058761 -0.034630 -0.025839  0.109665  0.087861
Sample_421   0.514759  0.304604  0.132353  0.258881  0.028533 -0.013813  0.029102  0.026602
Sample_422   0.498718  0.102318  0.048234  0.254411 -0.020331  0.038603  0.017811  0.018576
Sample_423   0.560916  0.296163  0.365263  0.237201 -0.016709 -0.024374  0.046629  0.079164
Sample_424   0.727791  0.099019  0.158856  0.381372 -0.000869  0.010262  0.124076  0.053218
Sample_425   0.669139  0.158763  0.181953  0.180674  0.001336  0.007135  0.045348  0.009268
Sample_426   0.774650  0.066682  0.267579 -0.235878 -0.001008 -0.053615  0.041155  0.039741
Sample_427   0.577501  0.187650  0.096174  0.204305  0.008472  0.082871  0.066506  0.101918
Sample_428   0.711353  0.194772  0.197904  0.289542  0.016074 -0.079247  0.049385  0.089090
Sample_429   0.696176  0.143949  0.751091 -0.025009  0.035454 -0.066882  0.051798  0.006131
Sample_430   0.737811  0.177705  0.454848  0.142748 -0.040805 -0.035286  0.061080  0.087418
Sample_431   0.599195  0.215138  0.390919  0.064201 -0.006844 -0.007001  0.129571  0.036429
Sample_432   0.675473  0.269468  0.647686 -0.023887  0.018471 -0.034449  0.067781  0.079286
Sample_433   0.484642  0.384320  0.114655 -0.051636 -0.051236 -0.006731  0.023775  0.045225
Sample_434   0.604028  0.220732  0.147290  0.507938  0.042619 -0.018805  0.034016 -0.004705
Sample_435   0.648885  0.166193  0.470645  0.006417 -0.011815 -0.018480  0.018787  0.096956
Sample_436   0.669987  0.256347  0.625791 -0.078773 -0.011424 -0.006928 -0.008315  0.071262
Sample_437   0.595693  0.281528  0.582962  0.119875  0.028418 -0.034576  0.126153  0.008396
Sample_438   0.508841  0.364445  0.166297  0.375746 -0.064020  0.000031  0.037336  0.045697
Sample_439   0.582773  0.285156  0.516139 -0.034079  0.007055  0.015619  0.041427  0.056633
Sample_440   0.984904 -0.105504  0.571194 -0.007877  0.006179 -0.052995  0.041152  0.086054
Sample_441   0.523531  0.284150  0.314969  0.068346  0.021536 -0.043152  0.113035  0.014867
Sample_442   0.629720  0.220147  0.286174 -0.008778 -0.020231 -0.045977  0.035240  0.134722
Sample_443   0.680227  0.161374  0.449993  0.085527 -0.018659 -0.021249  0.037980  0.039862
Sample_444   0.494561  0.292989  0.334578  0.115578 -0.003641 -0.017943 -0.001461  0.050211
Sample_445   0.760487 -0.061306  0.817647 -0.253233 -0.012734 -0.027570  0.001163 -0.022546
Sample_446   0.765897  0.045058  0.396769  0.212818 -0.021896  0.002825  0.296261 -0.053180
Sample_447   0.436812  0.292406  0.674399 -0.187515 -0.015284 -0.002313  0.020628 -0.014817
Sample_448   0.802013  0.011516  0.634868 -0.035672  0.011058 -0.017898  0.194690 -0.092592
Sample_449   0.308472  0.492985  0.363624 -0.022164 -0.000143 -0.021669  0.103901  0.068754
Sample_450   0.447055  0.399772  0.727155 -0.127458 -0.007990 -0.015751 -0.006093 -0.002228
Sample_451   0.446086  0.271415  0.676712 -0.307491 -0.031698 -0.049496  0.045860  0.009416
Sample_452   1.218061 -0.289210  0.846456 -0.311652 -0.015687 -0.019861  0.078964 -0.000187
Sample_453   0.927979 -0.206663  0.678977  0.014556 -0.003060 -0.043355  0.285852 -0.117828
Sample_454   0.715225 -0.029894  0.378552 -0.039431  0.028917  0.009687  0.076230  0.033181
Sample_455   0.997765 -0.102266  0.522634 -0.030695  0.000047  0.011136  0.059345  0.089279
Sample_456   0.730938  0.114751  0.681897 -0.093004 -0.010746 -0.019093  0.181360  0.191722
Sample_457   0.915174 -0.125809  0.547190 -0.016064  0.008182 -0.009225  0.295068 -0.057188
Sample_458   0.553975  0.034921  0.368307 -0.028596 -0.019238 -0.072035  0.120282  0.151083
Sample_459   0.639369  0.117555  0.467750  0.098303 -0.031967 -0.004839  0.277296  0.010846
Sample_460   0.218446  0.595792  0.181753  0.369034 -0.030301 -0.021089  0.337884 -0.105432
Sample_461   0.669518  0.191587  0.626638 -0.112279 -0.011213 -0.028559  0.013470  0.069092
Sample_462   0.554542  0.258132  0.304683  0.184561 -0.015636 -0.021332  0.062542  0.169714
Sample_463   1.078514 -0.245208  0.143003  0.204917 -0.033129 -0.041331  0.132864  0.240038
Sample_464   0.361232  0.399520  0.353927 -0.097644 -0.024276 -0.011949 -0.003083  0.001873
Sample_465   0.692596  0.179723  0.171013  0.131495 -0.027577  0.021478  0.128270 -0.006159
Sample_466   0.672900  0.108265  0.666023 -0.055697 -0.006806 -0.056260  0.062535  0.029656
Sample_467   0.743097  0.109523  0.257352  0.110431 -0.027336 -0.050385  0.039809  0.035767
Sample_468   0.651361  0.136921  0.021788  0.243021 -0.048062 -0.026978  0.095453  0.066398
Sample_469   0.629381  0.178941  0.913561 -0.275240 -0.022447 -0.015438  0.122855  0.068185
Sample_470   0.550435  0.384631  0.376130 -0.185772  0.007457  0.002306  0.052686  0.030617
Sample_471   0.849143  0.011299  0.446929 -0.101798 -0.017424 -0.057625  0.026021  0.000676
Sample_472   0.688042  0.122407  0.288437 -0.100314 -0.016917  0.013558  0.033175  0.014947
Sample_473   0.726809  0.051561  0.487060  0.211632 -0.001054 -0.042415  0.018454  0.021756
Sample_474   0.384977  0.500561  0.434522  0.199326 -0.032333 -0.014105  0.108433  0.113292
Sample_475   0.711353 -0.023693  0.021060  0.239890 -0.045251 -0.008987  0.155207 -0.007899
Sample_476   0.624710  0.278692  0.370843 -0.153522 -0.028690 -0.007937  0.028473  0.023806
Sample_477   0.625931  0.228111  0.099834  0.467736 -0.016690 -0.009638  0.084835  0.054033
Sample_478   0.615911  0.184289  0.224841  0.155256 -0.025136 -0.054129  0.056493  0.076474
Sample_479   0.945752 -0.106042  0.245282  0.386611 -0.016881 -0.015915  0.066079  0.059772
Sample_480   0.702040  0.188848  0.225640  0.155037 -0.022017 -0.006079  0.075492  0.083717
Sample_481   0.706738  0.103880  0.190657  0.244295 -0.057543 -0.015646  0.006551 -0.013424
Sample_482   0.884579 -0.006549  0.220417  0.370967 -0.021747 -0.014229  0.076342  0.043681
Sample_483   1.020259 -0.196594  0.481300  0.151624 -0.008509 -0.026730  0.042512 -0.012492
Sample_484   0.632793  0.200839  0.219958  0.280355  0.054795 -0.034896  0.221116  0.045572
Sample_485   0.851019  0.041077  0.445519  0.111388 -0.094391 -0.036537  0.132729  0.058222
Sample_486   0.546536  0.198348  0.271624  0.163091 -0.040441 -0.030897  0.066692  0.125566
Sample_487   0.888422  0.072319 -0.120460  0.038618 -0.023196  0.001820  0.053347  0.068596
Sample_488   0.799363 -0.005505  0.281868  0.121432 -0.024600 -0.035519  0.102741  0.047112
Sample_489   0.479073  0.311282  0.092911  0.152572 -0.003581 -0.075667  0.023643  0.009813
Sample_490   0.536790  0.300495  0.144486  0.094952 -0.038487 -0.054575  0.101120  0.028346
Sample_491   1.205048 -0.266188  0.440765  0.134911 -0.057755  0.006144  0.117900  0.062994
Sample_492   0.479037  0.406572  0.179830  0.198400 -0.023310 -0.034379  0.060558  0.042879
Sample_493   0.546352  0.348253  0.529722  0.107403 -0.051963 -0.026633  0.082883  0.036841
Sample_494   0.667462  0.194957  0.144918  0.314085 -0.038777 -0.032898  0.061793  0.052163
Sample_495   0.824914  0.100352  0.200300  0.257880 -0.068157 -0.015353  0.125231 -0.005356
Sample_496   1.036306 -0.078760  0.160889  0.012687 -0.045443 -0.021789  0.084086  0.082621
Sample_497   0.609599  0.331756  0.363719  0.236165 -0.009324 -0.008700  0.033125  0.078779
Sample_498   0.725025  0.148354  0.500266  0.164669 -0.025569 -0.033521  0.118655  0.089524
Sample_499   0.787460  0.069284  0.146223  0.237898 -0.048912 -0.032028  0.071270  0.022285
Sample_500   0.530116  0.362858 -0.082547  0.240665 -0.061159 -0.031348  0.142231  0.043437
Sample_501   0.659468  0.274111  0.971555 -0.025601  0.194013  0.252165  0.244082  0.257261
Sample_502   0.593212  0.328262  0.307796  0.298874  0.062374 -0.018401  0.110840  0.016136
Sample_503   0.756970 -0.015195  0.322310  0.338976  0.298246  0.099010  0.303139 -0.260574
Sample_504   0.464899  0.344094  0.185307  0.070479 -0.024848 -0.050578  0.008537  0.035511
Sample_505   0.528730  0.391930  0.414407  0.268156 -0.006984 -0.007649  0.043241  0.010395
Sample_506   0.514297  0.363854 -0.589899 -0.119965 -0.042656 -0.051839  0.030059  0.043641
Sample_507   1.048765 -0.144116  0.321838  0.333393 -0.127500  0.007155  0.086205  0.011248
Sample_508   0.696606  0.123708  0.181647 -0.026719 -0.062567 -0.043420 -0.095425 -0.191059
Sample_509   0.620796  0.113905  0.596517 -0.145634 -0.044651 -0.017514  0.079536 -0.008100
Sample_510   0.633289  0.320724  0.796594 -0.193470 -0.021237  0.002343 -0.009801 -0.004574
Sample_511   0.916011 -0.097181  0.961341 -0.217605 -0.015238 -0.024748 -0.049794 -0.026298
Sample_512   0.775363  0.042047  0.333732  0.000691  0.000489 -0.042124 -0.057308 -0.072469
Sample_513   0.590732  0.096061  0.585275 -0.067379  0.002906 -0.019424  0.034273 -0.026546
Sample_514   0.896460 -0.087456  0.399536  0.053562 -0.055773 -0.026447  0.147529 -0.011324
Sample_515   0.603032  0.351243  0.115091  0.236832 -0.015006 -0.044562  0.054055 -0.010185
Sample_516   0.478566  0.342956  0.352091  0.135439 -0.058403 -0.015252  0.014823 -0.019806
Sample_517   0.533148  0.312156  0.546150  0.035150 -0.036398 -0.037094  0.195574 -0.009855
Sample_518   0.868922 -0.156143  0.768438 -0.213552 -0.059273 -0.021386  0.156998 -0.064463
Sample_519   0.962904 -0.246552  0.552980 -0.040792 -0.036680 -0.034729 -0.039952 -0.011617
Sample_520   0.425882  0.437863  0.449421  0.167425 -0.072463 -0.050797  0.146809 -0.001441
Sample_521   0.645351  0.165782  0.359244  0.145818 -0.016316 -0.037033  0.055955 -0.027350
Sample_522   0.358226  0.385634  0.107456  0.008876 -0.014268 -0.033074  0.007563 -0.002401
Sample_523   0.642856  0.311176  0.668000 -0.121041 -0.068355 -0.024363  0.169891 -0.049520
Sample_524   0.737726  0.103401  0.451197  0.151705 -0.047296 -0.006795  0.004664 -0.018760
Sample_525   0.575120  0.382365  0.406801  0.173685 -0.027528 -0.060063  0.214164  0.008256
Sample_526   0.651755  0.248833  0.185674  0.101611  0.012349 -0.017973  0.064225  0.009438
Sample_527   0.789721 -0.030246  0.518527  0.120719 -0.058983 -0.039026  0.208509  0.019316
Sample_528   0.411041  0.295850  0.135251  0.153848  0.042566 -0.041027 -0.001691  0.111367
Sample_529   0.548850  0.280400  0.250802  0.043312 -0.014664 -0.007673  0.132757  0.012101
Sample_530   0.554621  0.251016  0.401244  0.016470 -0.074732 -0.021986  0.151426  0.043976
Sample_531   0.192458  0.709200  0.312622  0.392210 -0.045843 -0.022595  0.058507  0.093466
Sample_532   0.826854  0.005683  0.788037 -0.256411 -0.004855 -0.022910  0.072085  0.078051
Sample_533   0.827084 -0.061434  0.176179  0.152388 -0.014693 -0.002823  0.087029  0.094622
Sample_534   0.473467  0.403517  0.296499  0.273170  0.008846 -0.015964  0.050832  0.054123
Sample_535   0.422324  0.310056  0.082853 -0.041223 -0.017367 -0.057295  0.015594  0.107347
Sample_536   0.383161  0.326445  0.161130  0.246185 -0.049551 -0.025546  0.093058  0.007777
Sample_537   0.465980  0.357359  0.125669  0.222864 -0.019278 -0.018770 -0.015823 -0.008665
Sample_538   0.846964 -0.037009 -0.472002 -0.231338 -0.059151 -0.015117  0.104080  0.050082
Sample_539   0.290257  0.411706  0.137263  0.085187  0.007703 -0.023114  0.039806  0.047215
Sample_540   0.545615  0.183838  0.149737  0.219231 -0.015790 -0.018952  0.086779  0.160951
Sample_541   0.468626  0.427477  0.322936  0.061608 -0.063529 -0.025428  0.027153  0.136756
Sample_542   0.497932  0.302388  0.169009  0.432615 -0.092349 -0.013446  0.114481  0.050709
Sample_543   0.575354  0.193121  0.314892  0.036961 -0.003826 -0.009332  0.073246 -0.018036
Sample_544   0.712594  0.096925  0.317010  0.214092 -0.007538 -0.028614  0.088124  0.061439
Sample_545   0.243546  0.476758  0.155923  0.491362 -0.024388 -0.004302  0.076970  0.039928
Sample_546   1.084834 -0.198410 -0.043593  0.178022 -0.042020 -0.043690  0.050443  0.023928
Sample_547   0.512593  0.303718 -0.009094  0.161132  0.024034 -0.010351  0.050776  0.012509
Sample_548   0.581361  0.122006  0.352894  0.017186 -0.038552 -0.047596  0.074674  0.103888
Sample_549   0.421289  0.378397  0.190243 -0.049362 -0.019459 -0.039784  0.028095  0.040028
Sample_550   0.384352  0.547232  0.524007  0.137539 -0.002298 -0.071465  0.028829  0.202828
Sample_551   0.858030  0.106660  0.652658 -0.280066 -0.016180 -0.037123  0.067367  0.026313
Sample_552   0.694341  0.115674  0.217176  0.106294 -0.014605 -0.021717  0.042615  0.036460
Sample_553   0.776388  0.071777  0.574171 -0.014704  0.031084 -0.021423  0.085575 -0.034915
Sample_554   0.857018  0.037036  0.550274 -0.064562 -0.101155 -0.021980  0.035684  0.008676
Sample_555   0.861749 -0.065490  0.242207  0.056000 -0.031533 -0.010992  0.038231  0.034259
Sample_556   0.516613  0.318202 -0.473974 -0.275237 -0.010433  0.012799 -0.008008 -0.020573
Sample_557   0.675027  0.245669  0.533002 -0.260485  0.025830 -0.006513 -0.046613 -0.038302
Sample_558   0.918284  0.044699  0.508770  0.216763  0.014343  0.015916 -0.013922 -0.009044
Sample_559   1.025798 -0.093202  0.473787  0.030362 -0.007699 -0.010352 -0.003220 -0.016766
Sample_560   1.149405 -0.294253  0.074323  0.139771  0.012319 -0.019345 -0.007427 -0.006673
Sample_561   0.524169  0.122492  0.209636  0.178776 -0.022634 -0.012087  0.074344 -0.014899
Sample_562   0.348457  0.350259 -0.150958  0.208022 -0.005515 -0.024460  0.137015 -0.017535
Sample_563   0.888901 -0.069009  0.614085 -0.271135 -0.002551 -0.012650 -0.032574 -0.027003
Sample_564   1.204361 -0.265393  0.533530 -0.086179  0.014034 -0.020816 -0.017530 -0.016921
Sample_565   0.775050 -0.003139  0.647505  0.002516 -0.014340 -0.035606 -0.004062 -0.052646
Sample_566   0.772444  0.125327  0.453659  0.172209  0.018112 -0.013006 -0.033070 -0.006969
Sample_567   0.499723  0.320682  0.002738  0.003564 -0.030467 -0.004932  0.024654 -0.022990
Sample_568   1.376128 -0.425828  0.576740  0.071747 -0.000438  0.000297 -0.012128 -0.002644
