             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_30         48484.500768               16.739746       48484.500768    0.288603   0.733717              0.504120    -0.344452                0.048105       0.000000                        7.0                    1.0                33.500000                        7.0         124.020579 -0.433403            44.866680    54476.967155                   1.0
Sample_31         47048.487030               16.481084       47048.487030    0.285542   0.737140              0.518541    -0.348783                0.043793       0.000000                        6.0                    1.0                33.125000                        7.0         124.664848 -0.430951            46.150154    52863.468574                   1.0
Sample_32         49328.237143               17.170743       49328.237143    0.296155   0.745182              0.472685    -0.350928                0.046310       0.000000                        4.0                    1.0                31.666667                        5.0         121.777377 -0.419193            42.069001    55424.985554                   1.0
Sample_33         53083.254731               18.694559       53083.254731    0.326279   0.808235              0.530758    -0.323596                0.047160       0.000000                        8.0                    1.0                32.416667                        8.0         124.803328 -0.362859            47.237491    59644.106440                   1.0
Sample_34         54778.583144               18.821997       54778.583144    0.318368   0.811663              0.489846    -0.369181                0.051803      -0.021602                        7.0                    1.0                32.857143                        7.0         122.446361 -0.385481            43.596258    61548.969825                   1.0
Sample_35         54078.515609               18.275896       54078.515609    0.302976   0.769999              0.498061    -0.353577                0.045771       0.000000                        4.0                    0.0                33.357143                        3.0         123.952423 -0.420687            44.327441    60762.377089                   1.0
Sample_36         61039.711278               20.330072       61039.711278    0.354747   0.818168              0.527088    -0.337917                0.058604       0.000000                        9.0                    1.0                35.130435                        9.0         125.259638 -0.330593            46.910856    68583.945256                   1.0
Sample_37         52374.953153               17.984673       52374.953153    0.304241   0.766576              0.513987    -0.354954                0.058523       0.000000                        6.0                    1.0                33.555556                        5.0         124.579914 -0.412253            45.744878    58848.261969                   1.0
Sample_38         55450.455240               18.669284       55450.455240    0.319410   0.777137              0.478805    -0.341595                0.048616       0.000000                        5.0                    1.0                33.285714                        8.0         123.040020 -0.396583            42.613601    62303.882292                   1.0
Sample_39         54237.471151               18.447726       54237.471151    0.313527   0.780560              0.541590    -0.347123                0.057570       0.000000                        3.0                    1.0                35.500000                        4.0         127.354404 -0.401179            48.201524    60940.978821                   1.0
Sample_40         52606.170589               17.890273       52606.170589    0.308328   0.766193              0.489507    -0.338700                0.040651       0.000000                        5.0                    1.0                33.888889                        5.0         123.966993 -0.411495            43.566108    59108.056841                   1.0
Sample_41         55493.148617               18.967718       55493.148617    0.328027   0.801394              0.502932    -0.333868                0.055706       0.000000                        4.0                    2.0                34.166667                        5.0         124.419591 -0.373747            44.760924    62351.852379                   1.0
Sample_42         55660.077370               18.976817       55660.077370    0.321050   0.797971              0.532300    -0.348747                0.083428       0.000000                       11.0                    1.0                33.785714                       12.0         124.781420 -0.385028            47.374711    62539.412776                   1.0
Sample_43         64962.802193               21.591524       64962.802193    0.361077   0.850262              0.554545    -0.348315                0.050513       0.000000                        8.0                    1.0                36.000000                        7.0         127.336519 -0.303473            49.354523    72991.912576                   1.0
Sample_44         55587.968638               19.115359       55587.968638    0.335475   0.804812              0.531067    -0.345506                0.067188       0.000000                       11.0                    1.0                34.529412                       11.0         125.915998 -0.357056            47.264950    62458.391728                   1.0
Sample_45         57062.221706               19.240956       57062.221706    0.324228   0.789832              0.572542    -0.325843                0.063256       0.000000                        6.0                    1.0                34.444444                        6.0         128.089609 -0.384878            50.956234    64114.855849                   1.0
Sample_46         48926.699283               16.235612       48926.699283    0.262409   0.689312              0.495233    -0.351379                0.035775       0.000000                       10.0                    1.0                32.564103                       11.0         123.147932 -0.482442            44.075757    54973.819419                   1.0
Sample_47         47752.985852               16.176188       47752.985852    0.266368   0.697101              0.428288    -0.365169                0.019669       0.000000                        9.0                    1.0                32.607843                       10.0         119.970502 -0.468523            38.117644    53655.040284                   1.0
Sample_48         47420.489035               16.401575       47420.489035    0.279116   0.722729              0.494325    -0.359551                0.044118       0.000000                        8.0                    2.0                32.954545                        8.0         122.635973 -0.443713            43.994899    53281.448354                   1.0
Sample_49         46049.528420               15.896866       46049.528420    0.268368   0.703947              0.469087    -0.333621                0.032389       0.000000                       11.0                    2.0                31.957143                       12.0         121.608704 -0.457496            41.748764    51741.043168                   1.0
Sample_50         47639.267404               16.321829       47639.267404    0.276451   0.711664              0.495252    -0.326592                0.035187       0.000000                        6.0                    2.0                31.740741                        7.0         122.930093 -0.452063            44.077451    53527.266746                   1.0
Sample_51         46670.166519               16.126542       46670.166519    0.272820   0.708241              0.469958    -0.366209                0.041286       0.000000                        8.0                    2.0                32.592593                        8.0         121.977150 -0.451602            41.826268    52438.389347                   1.0
Sample_52         50725.377248               16.823423       50725.377248    0.269373   0.711664              0.452117    -0.369922                0.047708       0.000000                       11.0                    1.0                32.923077                       11.0         119.356529 -0.476209            40.238396    56994.805897                   1.0
Sample_53         48975.901016               16.385976       48975.901016    0.270069   0.700524              0.454906    -0.365971                0.036865       0.000000                        7.0                    1.0                32.571429                        8.0         120.223388 -0.469608            40.486644    55029.102266                   1.0
Sample_54         47209.697940               16.217247       47209.697940    0.273867   0.708241              0.478926    -0.370787                0.055641       0.000000                        8.0                    1.0                33.500000                        9.0         121.768364 -0.452706            42.624436    53044.604427                   1.0
Sample_55         45677.672651               15.666392       45677.672651    0.264744   0.689312              0.458675    -0.371910                0.059922       0.000000                       10.0                    2.0                33.100000                       10.0         121.275265 -0.462450            40.822052    51323.227698                   1.0
Sample_56         48451.123168               16.437714       48451.123168    0.275033   0.708241              0.490567    -0.369181                0.037434       0.000000                       10.0                    2.0                33.085714                       10.0         122.860670 -0.457476            43.660491    54439.464233                   1.0
Sample_57         47621.619462               16.291406       47621.619462    0.276214   0.704818              0.490236    -0.367041                0.021019       0.000000                        9.0                    2.0                32.666667                        9.0         123.621806 -0.451820            43.631029    53507.437598                   1.0
Sample_58         45731.466268               15.935971       45731.466268    0.269160   0.704818              0.487624    -0.403558                0.035069       0.000000                        9.0                    2.0                35.916667                        8.0         123.141333 -0.451174            43.398515    51383.669964                   1.0
Sample_59         50622.040777               16.956562       50622.040777    0.289647   0.715883              0.481263    -0.359891                0.033694       0.000000                        7.0                    2.0                32.923077                        9.0         124.087901 -0.444366            42.832378    56878.697502                   1.0
Sample_60         46529.109751               15.808495       46529.109751    0.262421   0.685889              0.462429    -0.379657                0.031741       0.000000                        9.0                    2.0                33.789474                        9.0         119.826560 -0.469685            41.156171    52279.898596                   1.0
Sample_61         46781.699834               16.300079       46781.699834    0.280538   0.719306              0.489414    -0.344349                0.036517       0.000000                       13.0                    1.0                31.867925                       14.0         122.741217 -0.439160            43.557821    52563.707678                   1.0
Sample_62         44796.075072               15.513431       44796.075072    0.263793   0.689312              0.477918    -0.366292                0.044553       0.000000                        8.0                    2.0                32.682927                        9.0         121.802106 -0.459201            42.534725    50332.668620                   1.0
Sample_63         48262.549748               16.686519       48262.549748    0.285292   0.722156              0.473374    -0.376404                0.046725       0.000000                        9.0                    2.0                33.500000                        9.0         121.582532 -0.435971            42.130280    54227.583987                   1.0
Sample_64         42169.707130               15.194274       42169.707130    0.278037   0.693678              0.467288    -0.345974                0.034179       0.000000                       10.0                    2.0                31.000000                       11.0         122.191579 -0.425513            41.588623    47381.693404                   1.0
Sample_65         50797.492902               16.821393       50797.492902    0.272250   0.704818              0.451984    -0.387640                0.025641       0.000000                        4.0                    2.0                34.500000                        6.0         121.287814 -0.471771            40.226559    57075.834721                   1.0
Sample_66         45993.998417               15.739151       45993.998417    0.264899   0.689312              0.480747    -0.348876                0.030542       0.000000                       10.0                    2.0                31.612245                       12.0         122.150247 -0.464464            42.786469    51678.649906                   1.0
Sample_67         46551.145707               16.104937       46551.145707    0.273528   0.708241              0.476301    -0.363872                0.037681       0.000000                       14.0                    1.0                32.384615                       14.0         121.123584 -0.450044            42.390825    52304.658097                   1.0
Sample_68         41273.959732               14.337123       41273.959732    0.242276   0.636928              0.394128    -0.359881                0.025963       0.000000                       10.0                    1.0                32.029412                       11.0         116.559750 -0.474385            35.077360    46375.235653                   1.0
Sample_69         40878.435446               14.134766       40878.435446    0.242069   0.625382              0.408231    -0.352941                0.009091       0.000000                        7.0                    2.0                31.411765                        8.0         118.872097 -0.473905            36.332603    45930.826344                   1.0
Sample_70         42598.946965               15.010706       42598.946965    0.261004   0.667759              0.420008    -0.334880                0.032571       0.000000                        9.0                    1.0                30.355932                        9.0         119.269499 -0.454093            37.380694    47863.985353                   1.0
Sample_71         47793.753216               16.045688       47793.753216    0.263839   0.685889              0.434943    -0.360799                0.030355       0.000000                       11.0                    2.0                32.111111                       10.0         119.541357 -0.474972            38.709951    53700.846310                   1.0
Sample_72         44409.551179               15.322341       44409.551179    0.259831   0.674605              0.416681    -0.350990                0.033987       0.000000                        8.0                    1.0                31.238095                        8.0         117.879236 -0.465076            37.084627    49898.372111                   1.0
Sample_73         49344.758461               16.749706       49344.758461    0.282165   0.712460              0.473991    -0.352060                0.043804       0.000000                       10.0                    2.0                31.607143                       12.0         121.129086 -0.449180            42.185240    55443.548833                   1.0
Sample_74         42913.119346               14.777425       42913.119346    0.250488   0.644989              0.427575    -0.346154                0.013228       0.000000                        6.0                    1.0                30.807692                        9.0         119.204140 -0.472500            38.054133    48216.988029                   1.0
Sample_75         40440.276987               14.341080       40440.276987    0.252366   0.651835              0.424325    -0.343945                0.050330       0.000000                        9.0                    2.0                30.740260                        9.0         118.340671 -0.456288            37.764921    45438.513469                   1.0
Sample_76         45684.970603               15.533258       45684.970603    0.256139   0.667759              0.425558    -0.365169                0.020853       0.000000                       13.0                    1.0                32.500000                       11.0         118.474386 -0.476358            37.874633    51331.427644                   1.0
Sample_77         45074.005245               15.291585       45074.005245    0.258456   0.663254              0.462262    -0.346910                0.034212       0.000000                        5.0                    1.0                32.000000                        5.0         121.702757 -0.472551            41.141278    50644.949713                   1.0
