             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_30           10667703.0                 239.685         10667703.0    0.293028   0.616426             15.314607    -1.269663                     1.0            0.0                        7.0                    0.0                    500.0                        5.0        1409.224717 -6.090982               1363.0    1.198618e+07                   1.0
Sample_31            4341767.0                 141.910          4341767.0    0.396764   0.596031             10.808989    -1.483146                     0.0            0.0                        2.0                    0.0                    489.0                        1.0        1017.055433 -2.471227                962.0    4.878390e+06                   1.0
Sample_32            4159950.0                 150.440          4159950.0    0.323702   0.686537             10.202247    -3.011236                     3.0            0.0                        5.0                    1.0                    442.0                        4.0         950.914165 -3.525242                908.0    4.674101e+06                   1.0
Sample_33            5494477.0                 185.830          5494477.0    0.306784   0.706183             14.853933    -0.449438                     3.0            0.0                       10.0                    2.0                    385.0                        9.0        1362.269512 -3.860271               1322.0    6.173570e+06                   1.0
Sample_34            5175810.0                 179.320          5175810.0    0.331747   0.705762             12.067416    -1.483146                     4.0            0.0                        8.0                    0.0                    391.0                        9.0        1111.600274 -3.602206               1074.0    5.815517e+06                   1.0
Sample_35            2006896.0                 107.620          2006896.0    0.341765   0.610212             16.471910    -1.483146                     0.0            0.0                        9.0                    0.0                    314.0                       11.0        1517.870412 -2.154142               1466.0    2.254939e+06                   1.0
Sample_36            1333388.0                  92.490          1333388.0    0.374661   0.727919              5.820225    -0.966292                     2.0            0.0                       10.0                    1.0                    190.0                        7.0         560.061910 -1.375939                518.0    1.498189e+06                   1.0
Sample_37            2909020.0                 131.385          2909020.0    0.263838   0.626317              5.112360    -1.921348                     0.0            0.0                        2.0                    1.0                    251.0                        2.0         510.345503 -3.533654                455.0    3.268562e+06                   1.0
Sample_38            4134595.0                 156.515          4134595.0    0.363802   0.673152              9.179775    -2.191011                     1.0            0.0                       10.0                    1.0                    364.0                        7.0         864.519862 -2.808092                817.0    4.645612e+06                   1.0
Sample_39            3498644.0                 145.795          3498644.0    0.338814   0.653851              8.325843    -1.494382                     2.0            0.0                        4.0                    2.0                    332.0                        4.0         787.947615 -2.895139                741.0    3.931061e+06                   1.0
Sample_40            2393822.0                 105.975          2393822.0    0.433067   0.677336              8.191011    -1.359551                     1.0            0.0                        5.0                    0.0                    382.0                        2.0         775.492189 -1.323028                729.0    2.689688e+06                   1.0
Sample_41            4614333.0                 167.200          4614333.0    0.380743   0.705094             11.505618    -2.044944                     1.0            0.0                        7.0                    2.0                    446.0                       10.0        1066.799535 -2.686974               1024.0    5.184644e+06                   1.0
Sample_42            5051108.0                 163.350          5051108.0    0.439741   0.705933             10.292135    -2.044944                     1.0            0.0                        0.0                    0.0                    500.0                        1.0         965.933633 -1.900070                916.0    5.675402e+06                   1.0
Sample_43            2608230.0                 125.450          2608230.0    0.470977   0.710635              7.752809    -0.516854                     1.0            0.0                        3.0                    1.0                    350.0                        2.0         736.860593 -0.597720                690.0    2.930596e+06                   1.0
Sample_44            1599785.0                  95.695          1599785.0    0.421854   0.728427              7.988764    -0.797753                     2.0            0.0                        8.0                    0.0                    304.0                        9.0         751.973265 -1.074478                711.0    1.797511e+06                   1.0
Sample_45            4757542.0                 172.465          4757542.0    0.309612   0.644822              9.247191    -0.573034                     0.0            0.0                        3.0                    2.0                    336.0                        3.0         872.714589 -3.662773                823.0    5.345553e+06                   1.0
Sample_46            4754577.0                 156.300          4754577.0    0.271520   0.668773              9.977528    -2.764045                     4.0            0.0                        4.0                    1.0                    381.0                        5.0         928.162001 -4.590320                888.0    5.342221e+06                   1.0
Sample_47           10065134.0                 227.665         10065134.0    0.301027   0.515605              9.808989    -2.910112                     0.0            0.0                        2.0                    0.0                    499.0                        1.0         931.646351 -6.075878                873.0    1.130914e+07                   1.0
Sample_48            9496554.0                 219.475          9496554.0    0.227011   0.502998             17.606742    -0.775281                     0.0            0.0                        5.0                    1.0                    499.0                        5.0        1625.603467 -7.089188               1567.0    1.067029e+07                   1.0
Sample_49           12137906.0                 253.440         12137906.0    0.259930   0.344299             12.921348    -1.123596                     0.0            0.0                        1.0                    0.0                    500.0                        1.0        1222.566739 -7.559040               1150.0    1.363810e+07                   1.0
Sample_50           10514094.0                 233.540         10514094.0    0.266507   0.509635             12.382022    -1.662921                     0.0            0.0                        4.0                    0.0                    500.0                        1.0        1161.164034 -6.900193               1102.0    1.181359e+07                   1.0
Sample_51            8162470.0                 203.895          8162470.0    0.339305   0.529832             10.438202    -2.033708                     0.0            0.0                        2.0                    0.0                    500.0                        1.0         988.248893 -4.604848                929.0    9.171315e+06                   1.0
Sample_52            9613826.0                 225.315          9613826.0    0.270542   0.680232             12.191011    -2.438202                     3.0            0.0                        4.0                    1.0                    500.0                        4.0        1126.332316 -6.472552               1085.0    1.080205e+07                   1.0
Sample_53            8057038.0                 196.960          8057038.0    0.220784   0.602448             13.932584    -5.617978                     0.0            0.0                        5.0                    1.0                    500.0                        5.0        1289.972018 -6.693370               1240.0    9.052852e+06                   1.0
Sample_54            7103670.0                 188.290          7103670.0    0.219862   0.641116             11.483146    -4.337079                     1.0            0.0                        3.0                    1.0                    499.0                        2.0        1069.401396 -6.221525               1022.0    7.981652e+06                   1.0
Sample_55            9177539.0                 212.930          9177539.0    0.218636   0.551868             11.146067    -4.629213                     0.0            0.0                        3.0                    1.0                    500.0                        4.0        1049.647106 -7.318755                992.0    1.031184e+07                   1.0
Sample_56            9198827.0                 215.560          9198827.0    0.216382   0.522030             11.932584    -1.280899                     0.0            0.0                        4.0                    1.0                    500.0                        4.0        1120.697461 -7.250303               1062.0    1.033576e+07                   1.0
Sample_57           13503436.0                 271.325         13503436.0    0.265599   0.228678              5.674157    -5.561798                     0.0            0.0                        0.0                    0.0                    500.0                        0.0         587.575398 -7.926427                505.0    1.517240e+07                   1.0
Sample_58            9929799.0                 229.260          9929799.0    0.306436   0.548271             11.325843    -1.820225                     0.0            0.0                        2.0                    1.0                    500.0                        2.0        1063.444304 -5.900095               1008.0    1.115708e+07                   1.0
Sample_59           10975944.0                 239.810         10975944.0    0.253021   0.445459             14.584270    -1.595506                     0.0            0.0                        1.0                    0.0                    499.0                        0.0        1361.567592 -7.299354               1298.0    1.233252e+07                   1.0
Sample_60           10178302.0                 230.160         10178302.0    0.262027   0.505509             29.033708    -5.617978                     0.0            0.0                       11.0                    1.0                    500.0                        8.0        2636.919255 -6.828662               2584.0    1.143629e+07                   1.0
Sample_61            7410498.0                 194.890          7410498.0    0.312952   0.638830             13.573034    -2.494382                     1.0            0.0                        4.0                    0.0                    500.0                        3.0        1255.408471 -4.880076               1208.0    8.326402e+06                   1.0
Sample_62            2686255.0                 115.720          2686255.0    0.288146   0.660635              7.370787    -2.674157                     2.0            0.0                        3.0                    2.0                    311.0                        3.0         698.707112 -3.296251                656.0    3.018264e+06                   1.0
Sample_63            9920182.0                 230.785          9920182.0    0.311767   0.656211             13.382022    -2.056180                     1.0            0.0                        8.0                    1.0                    500.0                        6.0        1238.213192 -5.648269               1191.0    1.114627e+07                   1.0
Sample_64           12316447.0                 250.315         12316447.0    0.270325   0.226219             10.258427    -0.977528                     0.0            0.0                        0.0                    0.0                    500.0                        0.0         996.124191 -7.213508                913.0    1.383870e+07                   1.0
Sample_65           10104995.0                 223.420         10104995.0    0.310141   0.389415             10.179775    -1.235955                     0.0            0.0                        1.0                    0.0                    499.0                        1.0         977.755714 -5.548051                906.0    1.135393e+07                   1.0
Sample_66           10015706.0                 223.900         10015706.0    0.215706   0.404399             11.820225    -1.797753                     0.0            0.0                        3.0                    0.0                    499.0                        4.0        1120.429166 -7.709232               1052.0    1.125360e+07                   1.0
Sample_67            6422768.0                 180.590          6422768.0    0.316088   0.674678             10.224719    -3.573034                     2.0            0.0                        4.0                    0.0                    500.0                        3.0         954.011258 -4.638103                910.0    7.216593e+06                   1.0
Sample_68            1819340.0                  90.855          1819340.0    0.264330   0.595398              7.629213    -2.078652                     0.0            0.0                        1.0                    1.0                    315.0                        1.0         730.201131 -2.918056                679.0    2.044202e+06                   1.0
Sample_69            1243931.0                  74.510          1243931.0    0.264241   0.603551              7.213483    -1.483146                     2.0            0.0                        3.0                    1.0                    275.0                        3.0         687.588733 -2.413886                642.0    1.397675e+06                   1.0
Sample_70            1307057.0                  77.305          1307057.0    0.328768   0.615121              6.685393    -1.269663                     1.0            0.0                        3.0                    1.0                    282.0                        4.0         643.108217 -1.986476                595.0    1.468603e+06                   1.0
Sample_71             860198.0                  65.450           860198.0    0.298610   0.640935              5.348315    -0.831461                     1.0            0.0                        5.0                    0.0                    211.0                        5.0         522.986841 -1.808981                476.0    9.665146e+05                   1.0
Sample_72            1145918.0                  73.590          1145918.0    0.339679   0.628813              5.932584    -1.191011                     1.0            0.0                        5.0                    1.0                    255.0                        5.0         575.293600 -1.761946                528.0    1.287548e+06                   1.0
Sample_73             855311.0                  65.155           855311.0    0.307204   0.668346              5.629213    -1.696629                     2.0            0.0                        6.0                    1.0                    197.0                        7.0         546.595113 -1.665103                501.0    9.610236e+05                   1.0
Sample_74             961460.0                  66.980           961460.0    0.323774   0.602167              6.449438    -0.853933                     0.0            0.0                        9.0                    1.0                    212.0                        8.0         625.163925 -1.727785                574.0    1.080292e+06                   1.0
Sample_75            3442971.0                 126.010          3442971.0    0.186533   0.619735              8.404494    -3.820225                     0.0            0.0                        5.0                    1.0                    379.0                        8.0         797.196114 -4.749154                748.0    3.868507e+06                   1.0
Sample_76            2049575.0                 102.400          2049575.0    0.273444   0.600975              5.617978    -1.685393                     0.0            0.0                        3.0                    1.0                    276.0                        4.0         552.416750 -3.043265                500.0    2.302893e+06                   1.0
Sample_77            1100646.0                  70.635          1100646.0    0.297893   0.603145              7.898876    -1.539326                     1.0            0.0                        5.0                    1.0                    285.0                        6.0         750.746773 -2.051908                703.0    1.236681e+06                   1.0
Sample_78            1055352.0                  70.755          1055352.0    0.291224   0.574362              6.932584    -0.730337                     0.0            0.0                        2.0                    0.0                    212.0                        3.0         670.662956 -1.966136                617.0    1.185789e+06                   1.0
Sample_79            1258661.0                  77.985          1258661.0    0.329416   0.555446              4.438202    -0.685393                     0.0            0.0                        3.0                    1.0                    207.0                        3.0         454.107991 -1.837717                395.0    1.414226e+06                   1.0
Sample_80            2656587.0                 110.920          2656587.0    0.369100   0.674010              9.191011    -1.280899                     3.0            0.0                        5.0                    1.0                    385.0                        4.0         860.657425 -2.303437                818.0    2.984929e+06                   1.0
Sample_81            1256756.0                  76.480          1256756.0    0.309859   0.599865              6.202247    -1.348315                     0.0            0.0                        2.0                    1.0                    253.0                        2.0         601.056393 -2.091781                552.0    1.412085e+06                   1.0
Sample_82             917391.0                  65.210           917391.0    0.305434   0.634367              6.044944    -0.943820                     2.0            0.0                        1.0                    2.0                    227.0                        2.0         583.489854 -1.808248                538.0    1.030776e+06                   1.0
Sample_83            1578596.0                  85.810          1578596.0    0.310863   0.612889              7.415730    -1.056180                     0.0            0.0                        5.0                    2.0                    279.0                        6.0         710.039126 -2.333951                660.0    1.773703e+06                   1.0
Sample_84            1585139.0                  85.630          1585139.0    0.311852   0.550820              6.359551    -1.483146                     0.0            0.0                        4.0                    1.0                    284.0                        4.0         622.135308 -2.346059                566.0    1.781055e+06                   1.0
Sample_85            2404111.0                 103.425          2404111.0    0.341393   0.646138              8.932584    -1.179775                     1.0            0.0                        7.0                    1.0                    371.0                        6.0         840.685807 -2.457447                795.0    2.701248e+06                   1.0
Sample_86            2237990.0                 100.905          2237990.0    0.353446   0.630770             10.101124    -1.606742                     1.0            0.0                        6.0                    0.0                    390.0                        6.0         946.032938 -2.299675                899.0    2.514596e+06                   1.0
Sample_87            4311364.0                 142.670          4311364.0    0.199664   0.626581              9.348315    -3.078652                     2.0            0.0                        6.0                    1.0                    402.0                        8.0         876.804689 -5.210569                832.0    4.844229e+06                   1.0
Sample_88            1689878.0                  90.215          1689878.0    0.339472   0.612259              7.000000    -1.269663                     0.0            0.0                        5.0                    1.0                    305.0                        5.0         671.404939 -2.114582                623.0    1.898739e+06                   1.0
Sample_89            1973488.0                  92.645          1973488.0    0.181677   0.615020              7.584270    -2.730337                     2.0            0.0                        3.0                    0.0                    290.0                        4.0         722.238422 -3.567848                675.0    2.217402e+06                   1.0
Sample_90             769447.0                  58.775           769447.0    0.262714   0.610212              5.269663    -1.292135                     0.0            0.0                        3.0                    0.0                    181.0                        4.0         518.840190 -1.883879                469.0    8.645472e+05                   1.0
Sample_91             783955.0                  62.465           783955.0    0.316264   0.627000              5.202247    -0.865169                     1.0            0.0                        7.0                    1.0                    193.0                        8.0         512.326866 -1.611252                463.0    8.808483e+05                   1.0
Sample_92            1006085.0                  62.975          1006085.0    0.197113   0.559735              5.921348    -2.460674                     0.0            0.0                        1.0                    0.0                    219.0                        2.0         581.847223 -2.417377                527.0    1.130433e+06                   1.0
Sample_93             693707.0                  53.260           693707.0    0.225796   0.551430              5.033708    -1.370787                     0.0            0.0                        0.0                    1.0                    187.0                        1.0         503.694359 -1.960267                448.0    7.794461e+05                   1.0
Sample_94             885320.0                  61.305           885320.0    0.223383   0.573427              5.988764    -1.382022                     0.0            0.0                        1.0                    1.0                    216.0                        2.0         583.354289 -2.203696                533.0    9.947416e+05                   1.0
Sample_95            1031806.0                  65.365          1031806.0    0.176784   0.560574              5.988764    -1.651685                     0.0            0.0                        5.0                    1.0                    206.0                        6.0         586.445292 -2.628637                533.0    1.159333e+06                   1.0
Sample_96            1447557.0                  76.595          1447557.0    0.237970   0.573261              9.247191    -1.876404                     0.0            0.0                        6.0                    1.0                    293.0                        6.0         872.541934 -2.772087                823.0    1.626469e+06                   1.0
Sample_97            1281175.0                  72.140          1281175.0    0.172396   0.573427              5.910112    -1.955056                     1.0            0.0                        4.0                    2.0                    232.0                        6.0         574.318645 -2.928600                526.0    1.439522e+06                   1.0
Sample_98            2344964.0                 104.770          2344964.0    0.261636   0.579575             12.853933    -2.224719                     0.0            0.0                        7.0                    2.0                    384.0                        9.0        1194.458864 -3.379183               1144.0    2.634791e+06                   1.0
Sample_99             721926.0                  55.810           721926.0    0.210697   0.593234              7.640449    -0.786517                     1.0            0.0                        7.0                    1.0                    203.0                        8.0         727.737172 -2.063070                680.0    8.111528e+05                   1.0
Sample_100            725674.0                  55.450           725674.0    0.260336   0.562642              6.561798    -1.235955                     0.0            0.0                        4.0                    1.0                    227.0                        5.0         637.922614 -1.854896                584.0    8.153640e+05                   1.0
Sample_101            885460.0                  63.610           885460.0    0.232939   0.567857              4.629213    -1.415730                     0.0            0.0                        2.0                    2.0                    186.0                        3.0         469.277535 -2.224736                412.0    9.948989e+05                   1.0
Sample_102           1287469.0                  73.150          1287469.0    0.272316   0.582405              7.213483    -1.662921                     1.0            0.0                        1.0                    1.0                    300.0                        3.0         689.722842 -2.387595                642.0    1.446594e+06                   1.0
Sample_103           4200487.0                 122.700          4200487.0    0.134535   0.565154             13.325843    -3.258427                     0.0            0.0                        3.0                    0.0                    500.0                        2.0        1239.455869 -5.435922               1186.0    4.719648e+06                   1.0
Sample_104           1571685.0                  82.090          1571685.0    0.254537   0.563826              9.011236    -1.168539                     0.0            0.0                        1.0                    1.0                    319.0                        1.0         852.795898 -2.770507                802.0    1.765938e+06                   1.0
Sample_105           1716978.0                  87.305          1716978.0    0.221385   0.573535              6.775281    -2.325843                     0.0            0.0                        4.0                    1.0                    264.0                        5.0         655.216251 -3.179718                603.0    1.929189e+06                   1.0
Sample_106           2064966.0                  93.770          2064966.0    0.243852   0.499407              6.719101    -1.910112                     0.0            0.0                        1.0                    1.0                    312.0                        3.0         656.761358 -3.342503                598.0    2.320187e+06                   1.0
Sample_107           1257417.0                  73.230          1257417.0    0.222138   0.566415              6.831461    -1.617978                     0.0            0.0                        6.0                    1.0                    222.0                        7.0         659.235544 -2.697378                608.0    1.412828e+06                   1.0
Sample_108           2625921.0                 110.755          2625921.0    0.237345   0.631154             10.213483    -1.876404                     1.0            0.0                        3.0                    2.0                    321.0                        5.0         957.207041 -3.715693                909.0    2.950473e+06                   1.0
