             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance      0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_28         2.397718e+10               11268.490       2.397718e+10    0.303886   0.759346            593.438202    -8.494382                   158.0            0.0                        7.0                    1.0                  24737.0                        9.0       52846.489716  -273.982936              52816.0    2.694065e+10                   1.0
Sample_29         6.285189e+09                5873.750       6.285189e+09    0.310071   0.730294            334.584270    -5.393258                   111.0            0.0                        7.0                    2.0                  13020.0                        8.0       29810.363451  -141.332057              29778.0    7.062010e+09                   1.0
Sample_30         1.656653e+10                9401.590       1.656653e+10    0.296439   0.733717            486.786517   -19.303371                   212.0            0.0                        8.0                    1.0                  20578.0                        9.0       43355.525090  -238.956316              43324.0    1.861407e+10                   1.0
Sample_31         2.372840e+10               11306.940       2.372840e+10    0.299060   0.737140            613.505618   -24.426966                   185.0            0.0                        9.0                    2.0                  24857.0                       10.0       54632.178469  -288.283977              54602.0    2.666113e+10                   1.0
Sample_32         2.451061e+10               11456.085       2.451061e+10    0.222093   0.745182            536.078652  -132.011236                   155.0            0.0                        5.0                    1.0                  28743.0                        5.0       47743.451073  -365.780640              47711.0    2.754001e+10                   1.0
Sample_33         4.703840e+10               16621.380       4.703840e+10    0.322853   0.811658            794.629213    -1.415730                   231.0            0.0                        8.0                    1.0                  31693.0                        8.0       70747.248797  -316.686101              70722.0    5.285214e+10                   1.0
Sample_34         2.786098e+10               12896.115       2.786098e+10    0.329135   0.808240            605.157303    -6.573034                   141.0            0.0                        7.0                    2.0                  24329.0                        8.0       53882.343126  -256.535424              53859.0    3.130447e+10                   1.0
Sample_35         1.142297e+10                8003.720       1.142297e+10    0.327985   0.769999            356.471910   -49.370787                   184.0            0.0                        3.0                    1.0                  17316.0                        4.0       31755.588728  -169.836745              31726.0    1.283479e+10                   1.0
Sample_36         6.608529e+09                6312.535       6.608529e+09    0.294017   0.828437            271.719101   -33.089888                    94.0            0.0                        8.0                    1.0                  12318.0                       10.0       24207.714127  -145.528353              24183.0    7.425313e+09                   1.0
Sample_37         2.816273e+10               12735.595       2.816273e+10    0.298358   0.766576            570.280899   -53.044944                   173.0            0.0                        6.0                    1.0                  24961.0                        8.0       50785.214116  -306.808742              50755.0    3.164352e+10                   1.0
Sample_38         4.975182e+10               17038.130       4.975182e+10    0.301462   0.777137            688.269663  -116.741573                   222.0            0.0                        9.0                    1.0                  33935.0                        9.0       61285.630491  -407.419270              61256.0    5.590093e+10                   1.0
Sample_39         2.600070e+10               12317.230       2.600070e+10    0.341613   0.780560            569.146067   -48.202247                   209.0            0.0                        4.0                    1.0                  25782.0                        6.0       50682.391229  -242.905873              50654.0    2.921427e+10                   1.0
Sample_40         1.765271e+10                9991.995       1.765271e+10    0.312116   0.766193            470.123596   -67.224719                   154.0            0.0                        7.0                    2.0                  22080.0                        8.0       41869.447100  -236.337120              41841.0    1.983451e+10                   1.0
Sample_41         8.082927e+10               21612.715       8.082927e+10    0.316905   0.801394            966.752809   -72.887640                   319.0            0.0                        9.0                    2.0                  44184.0                        9.0       86067.140388  -463.808199              86041.0    9.081940e+10                   1.0
Sample_42         3.587901e+10               14648.295       3.587901e+10    0.324095   0.797971            703.494382   -78.370787                   327.0            0.0                       10.0                    2.0                  29290.0                       10.0       62638.092093  -310.321727              62611.0    4.031349e+10                   1.0
