             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_29        102585.284673               23.743194      102585.284673    0.220391   0.733717              0.649030    -0.636364                0.338170      -0.282635                        0.0                    0.0                57.200000                        1.0         123.566660 -0.759674            57.763636   115264.364801                   1.0
Sample_30         84727.012149               21.207664       84727.012149    0.198600   0.733717              0.683989    -0.683989                0.271647      -0.271647                        0.0                    0.0                60.875000                        0.0         124.728062 -0.715823            60.875000    95198.890055                   1.0
Sample_31        102942.514959               23.723653      102942.514959    0.218152   0.737140              0.705524    -0.705524                0.313137      -0.313137                        0.0                    0.0                62.791667                        0.0         127.340363 -0.762887            62.791667   115665.747145                   1.0
Sample_32         89652.425985               22.457882       89652.425985    0.221161   0.745182              0.663444    -0.663444                0.298275      -0.298275                        0.0                    0.0                59.046512                        0.0         124.938279 -0.695590            59.046512   100733.062905                   1.0
Sample_33        118673.808217               27.245118      118673.808217    0.250570   0.808235              0.695894    -0.631461                0.292551      -0.264265                        1.0                    0.0                58.620000                        2.0         126.269022 -0.711381            61.934592   133341.357547                   1.0
Sample_34         93832.700016               23.917495       93832.700016    0.241628   0.811663              0.713773    -0.711075                0.242429      -0.242429                        3.0                    0.0                63.285714                        3.0         128.782199 -0.646317            63.525792   105430.000018                   1.0
Sample_35        102417.238086               24.495954      102417.238086    0.234075   0.769999              0.666113    -0.665197                0.306258      -0.306258                        1.0                    0.0                59.202532                        1.0         125.109860 -0.711974            59.284096   115075.548412                   1.0
Sample_36        100611.662797               25.178993      100611.662797    0.242274   0.818168              0.652904    -0.652859                0.350677      -0.350677                        1.0                    0.0                58.104478                        1.0         121.719377 -0.658730            58.108425   113046.812132                   1.0
Sample_37        120783.585502               26.706658      120783.585502    0.243158   0.766576              0.688034    -0.682584                0.284169      -0.284169                        2.0                    0.0                60.750000                        2.0         126.822963 -0.761187            61.235002   135711.893822                   1.0
Sample_38         86857.122766               22.808874       86857.122766    0.244766   0.777137              0.643704    -0.641771                0.191564      -0.191564                        2.0                    0.0                57.117647                        2.0         125.457492 -0.634008            57.289694    97592.272771                   1.0
Sample_39        119764.891584               26.735069      119764.891584    0.241694   0.780560              0.681508    -0.679946                0.339802      -0.339802                        0.0                    0.0                60.515152                        1.0         124.567419 -0.755455            60.654224   134567.293915                   1.0
Sample_40         92733.450344               23.059077       92733.450344    0.227227   0.766193              0.649369    -0.649369                0.303574      -0.303574                        0.0                    0.0                57.793814                        0.0         123.141220 -0.696757            57.793814   104194.888027                   1.0
Sample_41        115597.772334               26.709718      115597.772334    0.251499   0.801394              0.674716    -0.671750                0.247579      -0.247579                        1.0                    0.0                59.785714                        2.0         125.193318 -0.708222            60.049762   129885.137453                   1.0
Sample_42        104668.777813               25.180259      104668.777813    0.234218   0.797971              0.676958    -0.674445                0.351917      -0.351917                        1.0                    0.0                60.025641                        0.0         123.644567 -0.704599            60.249268   117605.368330                   1.0
Sample_43        137176.586612               30.292108      137176.586612    0.257709   0.850262              0.693820    -0.693820                0.374262      -0.374262                        0.0                    0.0                61.750000                        0.0         124.013370 -0.705371            61.750000   154130.996193                   1.0
Sample_44         85905.841603               22.907674       85905.841603    0.236102   0.804812              0.674157    -0.674157                0.279442      -0.279442                        0.0                    0.0                60.000000                        0.0         125.315554 -0.620405            60.000000    96523.417531                   1.0
Sample_45        116940.138634               26.917248      116940.138634    0.253788   0.789832              0.749777    -0.591760                0.167389      -0.159459                        0.0                    0.0                59.698413                        1.0         132.060757 -0.709131            66.730159   131393.414196                   1.0
Sample_46         78422.026745               19.214338       78422.026745    0.164920   0.689312              0.742682    -0.715696                0.047807      -0.029862                        7.0                    0.0                63.696970                        7.0         133.659018 -0.738936            66.098727    88114.636792                   1.0
Sample_47         82456.726110               19.944307       82456.726110    0.169444   0.697101              0.729453    -0.718867                0.263927      -0.258471                        1.0                    0.0                63.979167                        1.0         129.358323 -0.749734            64.921310    92648.006865                   1.0
Sample_48         91398.275473               21.551113       91398.275473    0.185869   0.722729              0.753723    -0.741573                0.246597      -0.222372                        2.0                    0.0                66.000000                        2.0         131.628677 -0.767175            67.081347   102694.691543                   1.0
Sample_49         93827.839332               21.330171       93827.839332    0.171779   0.703947              0.778975    -0.748487                0.322659      -0.308883                        2.0                    0.0                66.615385                        2.0         132.854790 -0.799943            69.328743   105424.538575                   1.0
Sample_50         80170.013332               19.952242       80170.013332    0.177943   0.711664              0.739479    -0.721348                0.172446      -0.154306                        4.0                    0.0                64.200000                        4.0         131.747303 -0.724581            65.813620    90078.666665                   1.0
Sample_51         89650.690779               21.297678       89650.690779    0.186060   0.708241              0.726191    -0.708281                0.249502      -0.244265                        1.0                    0.0                63.037037                        2.0         130.734626 -0.761611            64.631001   100731.113235                   1.0
Sample_52         86077.390207               20.721666       86077.390207    0.180466   0.711664              0.720586    -0.707433                0.199409      -0.199275                        3.0                    0.0                62.961538                        4.0         130.657622 -0.750676            64.132166    96716.168771                   1.0
Sample_53         83431.353990               20.001200       83431.353990    0.167755   0.700524              0.730872    -0.724452                0.207291      -0.198243                        1.0                    0.0                64.476190                        1.0         129.651392 -0.758829            65.047619    93743.094371                   1.0
Sample_54         73683.120483               18.946509       73683.120483    0.170440   0.704818              0.726932    -0.721348                0.169438      -0.164855                        1.0                    0.0                64.200000                        1.0         130.434014 -0.699497            64.696908    82790.023014                   1.0
Sample_55         78268.380610               19.315306       78268.380610    0.169596   0.689312              0.715753    -0.715056                0.186576      -0.186576                        1.0                    0.0                63.640000                        1.0         130.898890 -0.732171            63.702016    87942.000685                   1.0
Sample_56         72379.826250               19.030940       72379.826250    0.184041   0.711664              0.758420    -0.734082                0.168544      -0.131003                        3.0                    0.0                65.333333                        3.0         133.879846 -0.673779            67.499357    81325.647472                   1.0
Sample_57         83236.422940               20.423021       83236.422940    0.182458   0.704818              0.720889    -0.710861                0.280931      -0.254611                        0.0                    0.0                63.266667                        1.0         130.597172 -0.737152            64.159123    93524.070719                   1.0
Sample_58         93585.913117               21.725741       93585.913117    0.184586   0.704818              0.717462    -0.717228                0.208913      -0.208913                        1.0                    0.0                63.833333                        1.0         130.693658 -0.780339            63.854076   105152.711367                   1.0
Sample_59         81157.960827               20.371994       81157.960827    0.187158   0.715883              0.708233    -0.708206                0.192539      -0.192539                        1.0                    0.0                63.030303                        0.0         130.386151 -0.717641            63.032775    91188.720031                   1.0
Sample_60         81263.223641               19.796537       81263.223641    0.174060   0.685889              0.709083    -0.702543                0.172283      -0.172283                        2.0                    0.0                62.526316                        2.0         129.874114 -0.744237            63.108405    91306.992856                   1.0
Sample_61         85353.789604               20.866257       85353.789604    0.185685   0.719306              0.742275    -0.711170                0.207317      -0.177581                        2.0                    0.0                63.294118                        2.0         131.642089 -0.737130            66.062444    95903.134387                   1.0
Sample_62         80981.516042               19.719215       80981.516042    0.172053   0.689312              0.719405    -0.708828                0.211055      -0.189965                        3.0                    0.0                63.085714                        3.0         130.558636 -0.742891            64.027053    90990.467463                   1.0
Sample_63         83350.272662               20.702989       83350.272662    0.184628   0.722156              0.743685    -0.735955                0.211966      -0.197531                        1.0                    0.0                65.500000                        1.0         133.474457 -0.719742            66.187931    93651.991755                   1.0
Sample_64         73837.833143               19.027836       73837.833143    0.178859   0.693678              0.735536    -0.734551                0.200688      -0.200688                        1.0                    0.0                65.375000                        1.0         132.260775 -0.696348            65.462676    82963.857464                   1.0
Sample_65         75288.456496               19.096502       75288.456496    0.168272   0.704818              0.735955    -0.735955                0.262209      -0.262209                        0.0                    0.0                65.500000                        0.0         130.845260 -0.710886            65.500000    84593.771343                   1.0
